Feature Identifier,Feature Name,Population Estimates (Current Geographic Boundaries): Age = All; Reference Period = 2017; Sex = All; measure type = Count,Dwellings by Council Tax Band: Council Tax Band = Total Dwellings; Reference Period = 2017; measure type = Count
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,51450,24464
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,149200,74739
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,121940,58307
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,104840,47635
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,94760,38755
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,26950,14724
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,160130,74458
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,235180,117607
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,78760,38876
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,90090,40165
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,95780,44974
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,135790,68019
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,22000,11228
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,115020,58226
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,23080,11224
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,112680,55321
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,318170,150443
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,94000,41326
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,228800,117342
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,261800,117663
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,86810,47974
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,513210,248359
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,176830,86701
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,89610,45074
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,181310,79143
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,116280,56268
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,148710,74456
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,339960,154449
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,108130,46511
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,621020,310211
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,371410,176453
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,151100,72079