"FeatureCode","DateCode","Measurement","Units","Value","Indicator..municipal.waste."
"S12000014","2007/2008","Count","Kg Per Capita",679,"Waste Arisings Per Capita (Kg)"
"S12000020","2007/2008","Count","Kg Per Capita",741,"Waste Arisings Per Capita (Kg)"
"S12000014","2009/2010","Count","Kg Per Capita",597,"Waste Arisings Per Capita (Kg)"
"S12000026","2007/2008","Ratio","Percent Of Municipal Waste",33.5,"Waste Recycled"
"S92000003","2011/2012","Ratio","Percent Of Municipal Waste",41.2,"Waste Recycled"
"S12000026","2009/2010","Ratio","Percent Of Municipal Waste",37.8,"Waste Recycled"
"S12000026","2011/2012","Ratio","Percent Of Municipal Waste",41.3,"Waste Recycled"
"S12000005","2005/2006","Ratio","Percent Of Municipal Waste",40.2,"Waste Recycled"
"S12000042","2004/2005","Ratio","Percent Of Municipal Waste",26.5,"Waste Recycled"
"S12000045","2007/2008","Ratio","Percent Of Municipal Waste",32.2,"Waste Recycled"
"S12000005","2007/2008","Ratio","Percent Of Municipal Waste",42.2,"Waste Recycled"
"S92000003","2010/2011","Ratio","Percent Of Municipal Waste",38.2,"Waste Recycled"
"S92000003","2004/2005","Ratio","Percent Of Municipal Waste",17.1,"Waste Recycled"
"S12000026","2008/2009","Ratio","Percent Of Municipal Waste",36,"Waste Recycled"
"S12000005","2009/2010","Ratio","Percent Of Municipal Waste",46.7,"Waste Recycled"
"S12000005","2008/2009","Ratio","Percent Of Municipal Waste",44.9,"Waste Recycled"
"S92000003","2007/2008","Ratio","Percent Of Municipal Waste",31.6,"Waste Recycled"
"S12000044","2011/2012","Ratio","Percent Of Municipal Waste",38.6,"Waste Recycled"
"S12000044","2009/2010","Ratio","Percent Of Municipal Waste",42.9,"Waste Recycled"
"S12000019","2005/2006","Ratio","Percent Of Municipal Waste",21.6,"Waste Recycled"
"S12000044","2007/2008","Ratio","Percent Of Municipal Waste",31.8,"Waste Recycled"
"S12000044","2008/2009","Ratio","Percent Of Municipal Waste",38.6,"Waste Recycled"
"S12000044","2005/2006","Ratio","Percent Of Municipal Waste",26.8,"Waste Recycled"
"S12000019","2011/2012","Ratio","Percent Of Municipal Waste",45.9,"Waste Recycled"
"S12000019","2008/2009","Ratio","Percent Of Municipal Waste",37.4,"Waste Recycled"
"S12000019","2004/2005","Ratio","Percent Of Municipal Waste",4.7,"Waste Recycled"
"S12000019","2006/2007","Ratio","Percent Of Municipal Waste",31.8,"Waste Recycled"
"S12000044","2004/2005","Ratio","Percent Of Municipal Waste",18.2,"Waste Recycled"
"S12000019","2007/2008","Ratio","Percent Of Municipal Waste",35.8,"Waste Recycled"
"S12000045","2011/2012","Ratio","Percent Of Municipal Waste",40.9,"Waste Recycled"
"S12000026","2004/2005","Ratio","Percent Of Municipal Waste",7.8,"Waste Recycled"
"S12000018","2006/2007","Ratio","Percent Of Municipal Waste",20.1,"Waste Recycled"
"S12000018","2011/2012","Ratio","Percent Of Municipal Waste",34.8,"Waste Recycled"
"S12000026","2006/2007","Ratio","Percent Of Municipal Waste",28.3,"Waste Recycled"
"S12000044","2010/2011","Ratio","Percent Of Municipal Waste",43.2,"Waste Recycled"
"S12000045","2005/2006","Ratio","Percent Of Municipal Waste",26.1,"Waste Recycled"
"S12000045","2010/2011","Ratio","Percent Of Municipal Waste",40.4,"Waste Recycled"
"S12000045","2006/2007","Ratio","Percent Of Municipal Waste",31.7,"Waste Recycled"
"S12000044","2006/2007","Ratio","Percent Of Municipal Waste",27.7,"Waste Recycled"
"S12000019","2009/2010","Ratio","Percent Of Municipal Waste",41.2,"Waste Recycled"
"S12000045","2004/2005","Ratio","Percent Of Municipal Waste",18.3,"Waste Recycled"
"S12000021","2005/2006","Ratio","Percent Of Municipal Waste",25.8,"Waste Recycled"
"S12000047","2010/2011","Ratio","Percent Of Municipal Waste",48.1,"Waste Recycled"
"S12000020","2011/2012","Ratio","Percent Of Municipal Waste",43.5,"Waste Recycled"
"S12000021","2004/2005","Ratio","Percent Of Municipal Waste",23.8,"Waste Recycled"
"S12000047","2009/2010","Ratio","Percent Of Municipal Waste",45.4,"Waste Recycled"
"S12000048","2008/2009","Ratio","Percent Of Municipal Waste",37.6,"Waste Recycled"
"S12000048","2007/2008","Ratio","Percent Of Municipal Waste",35.9,"Waste Recycled"
"S12000048","2011/2012","Ratio","Percent Of Municipal Waste",49.9,"Waste Recycled"
"S12000048","2009/2010","Ratio","Percent Of Municipal Waste",42.4,"Waste Recycled"
"S12000047","2005/2006","Ratio","Percent Of Municipal Waste",29.7,"Waste Recycled"
"S12000020","2008/2009","Ratio","Percent Of Municipal Waste",43.9,"Waste Recycled"
"S12000020","2009/2010","Ratio","Percent Of Municipal Waste",41.5,"Waste Recycled"
"S12000021","2011/2012","Ratio","Percent Of Municipal Waste",46.5,"Waste Recycled"
"S12000047","2008/2009","Ratio","Percent Of Municipal Waste",43,"Waste Recycled"
"S12000021","2006/2007","Ratio","Percent Of Municipal Waste",25.8,"Waste Recycled"
"S12000047","2011/2012","Ratio","Percent Of Municipal Waste",55.5,"Waste Recycled"
"S12000020","2010/2011","Ratio","Percent Of Municipal Waste",42.4,"Waste Recycled"
"S12000039","2004/2005","Ratio","Percent Of Municipal Waste",7.1,"Waste Recycled"
"S12000039","2005/2006","Ratio","Percent Of Municipal Waste",19,"Waste Recycled"
"S12000039","2010/2011","Ratio","Percent Of Municipal Waste",38.3,"Waste Recycled"
"S12000021","2007/2008","Ratio","Percent Of Municipal Waste",31.1,"Waste Recycled"
"S12000039","2009/2010","Ratio","Percent Of Municipal Waste",30.9,"Waste Recycled"
"S12000020","2006/2007","Ratio","Percent Of Municipal Waste",38.4,"Waste Recycled"
"S12000021","2009/2010","Ratio","Percent Of Municipal Waste",40.8,"Waste Recycled"
"S12000021","2008/2009","Ratio","Percent Of Municipal Waste",35.7,"Waste Recycled"
"S12000020","2004/2005","Ratio","Percent Of Municipal Waste",24.1,"Waste Recycled"
"S12000039","2011/2012","Ratio","Percent Of Municipal Waste",43.1,"Waste Recycled"
"S12000048","2006/2007","Ratio","Percent Of Municipal Waste",34,"Waste Recycled"
"S12000048","2010/2011","Ratio","Percent Of Municipal Waste",46.7,"Waste Recycled"
"S12000039","2006/2007","Ratio","Percent Of Municipal Waste",32,"Waste Recycled"
"S12000048","2004/2005","Ratio","Percent Of Municipal Waste",25.9,"Waste Recycled"
"S12000048","2005/2006","Ratio","Percent Of Municipal Waste",33.3,"Waste Recycled"
"S12000039","2008/2009","Ratio","Percent Of Municipal Waste",32.1,"Waste Recycled"
"S12000020","2005/2006","Ratio","Percent Of Municipal Waste",30.9,"Waste Recycled"
"S12000020","2007/2008","Ratio","Percent Of Municipal Waste",44,"Waste Recycled"
"S12000039","2007/2008","Ratio","Percent Of Municipal Waste",32.4,"Waste Recycled"
"S12000046","2007/2008","Ratio","Percent Of Municipal Waste",18.1,"Waste Recycled"
"S12000046","2011/2012","Ratio","Percent Of Municipal Waste",26.5,"Waste Recycled"
"S12000019","2010/2011","Ratio","Percent Of Municipal Waste",44.1,"Waste Recycled"
"S12000023","2007/2008","Ratio","Percent Of Municipal Waste",28.7,"Waste Recycled"
"S12000046","2006/2007","Ratio","Percent Of Municipal Waste",16.8,"Waste Recycled"
"S12000046","2008/2009","Ratio","Percent Of Municipal Waste",19.9,"Waste Recycled"
"S12000023","2009/2010","Ratio","Percent Of Municipal Waste",27.9,"Waste Recycled"
"S12000046","2005/2006","Ratio","Percent Of Municipal Waste",15.7,"Waste Recycled"
"S12000046","2004/2005","Ratio","Percent Of Municipal Waste",9.4,"Waste Recycled"
"S92000003","2006/2007","Ratio","Percent Of Municipal Waste",28.3,"Waste Recycled"
"S92000003","2005/2006","Ratio","Percent Of Municipal Waste",24.3,"Waste Recycled"
"S92000003","2009/2010","Ratio","Percent Of Municipal Waste",36.7,"Waste Recycled"
"S12000045","2008/2009","Ratio","Percent Of Municipal Waste",32.8,"Waste Recycled"
"S12000045","2009/2010","Ratio","Percent Of Municipal Waste",35.1,"Waste Recycled"
"S12000046","2009/2010","Ratio","Percent Of Municipal Waste",21.6,"Waste Recycled"
"S12000046","2010/2011","Ratio","Percent Of Municipal Waste",24,"Waste Recycled"
"S92000003","2008/2009","Ratio","Percent Of Municipal Waste",34.2,"Waste Recycled"
"S12000023","2004/2005","Ratio","Percent Of Municipal Waste",19.1,"Waste Recycled"
"S12000040","2009/2010","Ratio","Percent Of Municipal Waste",42.2,"Waste Recycled"
"S12000040","2011/2012","Ratio","Percent Of Municipal Waste",44.8,"Waste Recycled"
"S12000021","2010/2011","Ratio","Percent Of Municipal Waste",43.5,"Waste Recycled"
"S12000040","2006/2007","Ratio","Percent Of Municipal Waste",34.2,"Waste Recycled"
"S12000040","2010/2011","Ratio","Percent Of Municipal Waste",43.3,"Waste Recycled"
"S12000047","2006/2007","Ratio","Percent Of Municipal Waste",32.5,"Waste Recycled"
"S12000047","2007/2008","Ratio","Percent Of Municipal Waste",39.1,"Waste Recycled"
"S12000047","2004/2005","Ratio","Percent Of Municipal Waste",25.1,"Waste Recycled"
"S12000040","2008/2009","Ratio","Percent Of Municipal Waste",41.7,"Waste Recycled"
"S12000023","2010/2011","Ratio","Percent Of Municipal Waste",29.4,"Waste Recycled"
"S12000023","2008/2009","Ratio","Percent Of Municipal Waste",29.5,"Waste Recycled"
"S12000040","2005/2006","Ratio","Percent Of Municipal Waste",27.1,"Waste Recycled"
"S12000040","2004/2005","Ratio","Percent Of Municipal Waste",17.6,"Waste Recycled"
"S12000023","2011/2012","Ratio","Percent Of Municipal Waste",27.9,"Waste Recycled"
"S12000040","2007/2008","Ratio","Percent Of Municipal Waste",34.1,"Waste Recycled"
"S12000023","2006/2007","Ratio","Percent Of Municipal Waste",27.6,"Waste Recycled"
"S12000023","2005/2006","Ratio","Percent Of Municipal Waste",22.7,"Waste Recycled"
"S12000017","2005/2006","Ratio","Percent Of Municipal Waste",19.9,"Waste Recycled"
"S12000035","2010/2011","Ratio","Percent Of Municipal Waste",41.5,"Waste Recycled"
"S12000017","2009/2010","Ratio","Percent Of Municipal Waste",34.6,"Waste Recycled"
"S12000011","2005/2006","Ratio","Percent Of Municipal Waste",29.8,"Waste Recycled"
"S12000011","2010/2011","Ratio","Percent Of Municipal Waste",45.4,"Waste Recycled"
"S12000017","2008/2009","Ratio","Percent Of Municipal Waste",32.7,"Waste Recycled"
"S12000011","2008/2009","Ratio","Percent Of Municipal Waste",38.4,"Waste Recycled"
"S12000017","2007/2008","Ratio","Percent Of Municipal Waste",30.7,"Waste Recycled"
"S12000011","2011/2012","Ratio","Percent Of Municipal Waste",53,"Waste Recycled"
"S12000011","2004/2005","Ratio","Percent Of Municipal Waste",26.7,"Waste Recycled"
"S12000029","2008/2009","Ratio","Percent Of Municipal Waste",37,"Waste Recycled"
"S12000029","2011/2012","Ratio","Percent Of Municipal Waste",40.5,"Waste Recycled"
"S12000029","2005/2006","Ratio","Percent Of Municipal Waste",33.3,"Waste Recycled"
"S12000030","2006/2007","Ratio","Percent Of Municipal Waste",35.7,"Waste Recycled"
"S12000029","2010/2011","Ratio","Percent Of Municipal Waste",38.2,"Waste Recycled"
"S12000011","2009/2010","Ratio","Percent Of Municipal Waste",36,"Waste Recycled"
"S12000011","2006/2007","Ratio","Percent Of Municipal Waste",31.5,"Waste Recycled"
"S12000011","2007/2008","Ratio","Percent Of Municipal Waste",35,"Waste Recycled"
"S12000029","2006/2007","Ratio","Percent Of Municipal Waste",35.4,"Waste Recycled"
"S12000029","2004/2005","Ratio","Percent Of Municipal Waste",26,"Waste Recycled"
"S12000036","2005/2006","Ratio","Percent Of Municipal Waste",21.6,"Waste Recycled"
"S12000036","2004/2005","Ratio","Percent Of Municipal Waste",15.6,"Waste Recycled"
"S12000036","2007/2008","Ratio","Percent Of Municipal Waste",27.1,"Waste Recycled"
"S12000017","2006/2007","Ratio","Percent Of Municipal Waste",26.1,"Waste Recycled"
"S12000035","2006/2007","Ratio","Percent Of Municipal Waste",33.2,"Waste Recycled"
"S12000010","2005/2006","Ratio","Percent Of Municipal Waste",27.6,"Waste Recycled"
"S12000010","2006/2007","Ratio","Percent Of Municipal Waste",32.6,"Waste Recycled"
"S12000010","2008/2009","Ratio","Percent Of Municipal Waste",38.4,"Waste Recycled"
"S12000017","2011/2012","Ratio","Percent Of Municipal Waste",39,"Waste Recycled"
"S12000036","2006/2007","Ratio","Percent Of Municipal Waste",24.4,"Waste Recycled"
"S12000035","2009/2010","Ratio","Percent Of Municipal Waste",41.3,"Waste Recycled"
"S12000035","2004/2005","Ratio","Percent Of Municipal Waste",17.9,"Waste Recycled"
"S12000035","2005/2006","Ratio","Percent Of Municipal Waste",25.2,"Waste Recycled"
"S12000029","2009/2010","Ratio","Percent Of Municipal Waste",40.1,"Waste Recycled"
"S12000035","2011/2012","Ratio","Percent Of Municipal Waste",40.5,"Waste Recycled"
"S12000017","2004/2005","Ratio","Percent Of Municipal Waste",9,"Waste Recycled"
"S12000035","2007/2008","Ratio","Percent Of Municipal Waste",34.8,"Waste Recycled"
"S12000029","2007/2008","Ratio","Percent Of Municipal Waste",37,"Waste Recycled"
"S12000035","2008/2009","Ratio","Percent Of Municipal Waste",36.3,"Waste Recycled"
"S12000013","2008/2009","Ratio","Percent Of Municipal Waste",18.6,"Waste Recycled"
"S12000014","2007/2008","Ratio","Percent Of Municipal Waste",36,"Waste Recycled"
"S12000013","2011/2012","Ratio","Percent Of Municipal Waste",23.1,"Waste Recycled"
"S12000013","2009/2010","Ratio","Percent Of Municipal Waste",21.2,"Waste Recycled"
"S12000030","2007/2008","Ratio","Percent Of Municipal Waste",38.7,"Waste Recycled"
"S12000013","2006/2007","Ratio","Percent Of Municipal Waste",11.7,"Waste Recycled"
"S12000030","2011/2012","Ratio","Percent Of Municipal Waste",53.5,"Waste Recycled"
"S12000033","2005/2006","Ratio","Percent Of Municipal Waste",18.1,"Waste Recycled"
"S12000013","2010/2011","Ratio","Percent Of Municipal Waste",19.6,"Waste Recycled"
"S12000013","2007/2008","Ratio","Percent Of Municipal Waste",20,"Waste Recycled"
"S12000030","2004/2005","Ratio","Percent Of Municipal Waste",27.5,"Waste Recycled"
"S12000014","2004/2005","Ratio","Percent Of Municipal Waste",19,"Waste Recycled"
"S12000014","2005/2006","Ratio","Percent Of Municipal Waste",30.1,"Waste Recycled"
"S12000014","2008/2009","Ratio","Percent Of Municipal Waste",40.8,"Waste Recycled"
"S12000014","2006/2007","Ratio","Percent Of Municipal Waste",35,"Waste Recycled"
"S12000014","2011/2012","Ratio","Percent Of Municipal Waste",53.1,"Waste Recycled"
"S12000033","2011/2012","Ratio","Percent Of Municipal Waste",31.5,"Waste Recycled"
"S12000014","2010/2011","Ratio","Percent Of Municipal Waste",49.3,"Waste Recycled"
"S12000014","2009/2010","Ratio","Percent Of Municipal Waste",42.8,"Waste Recycled"
"S12000033","2010/2011","Ratio","Percent Of Municipal Waste",31.7,"Waste Recycled"
"S12000034","2004/2005","Ratio","Percent Of Municipal Waste",10.3,"Waste Recycled"
"S12000034","2006/2007","Ratio","Percent Of Municipal Waste",21.3,"Waste Recycled"
"S12000034","2007/2008","Ratio","Percent Of Municipal Waste",29.8,"Waste Recycled"
"S12000013","2005/2006","Ratio","Percent Of Municipal Waste",10.9,"Waste Recycled"
"S12000030","2010/2011","Ratio","Percent Of Municipal Waste",47.5,"Waste Recycled"
"S12000034","2011/2012","Ratio","Percent Of Municipal Waste",35.5,"Waste Recycled"
"S12000034","2010/2011","Ratio","Percent Of Municipal Waste",32.4,"Waste Recycled"
"S12000034","2009/2010","Ratio","Percent Of Municipal Waste",33.3,"Waste Recycled"
"S12000034","2005/2006","Ratio","Percent Of Municipal Waste",12.7,"Waste Recycled"
"S12000034","2008/2009","Ratio","Percent Of Municipal Waste",31.2,"Waste Recycled"
"S12000030","2009/2010","Ratio","Percent Of Municipal Waste",43.5,"Waste Recycled"
"S12000033","2004/2005","Ratio","Percent Of Municipal Waste",11.2,"Waste Recycled"
"S12000030","2008/2009","Ratio","Percent Of Municipal Waste",41.5,"Waste Recycled"
"S12000033","2009/2010","Ratio","Percent Of Municipal Waste",26.8,"Waste Recycled"
"S12000033","2006/2007","Ratio","Percent Of Municipal Waste",21.5,"Waste Recycled"
"S12000013","2004/2005","Ratio","Percent Of Municipal Waste",7.5,"Waste Recycled"
"S12000030","2005/2006","Ratio","Percent Of Municipal Waste",32.5,"Waste Recycled"
"S12000033","2007/2008","Ratio","Percent Of Municipal Waste",22.2,"Waste Recycled"
"S12000033","2008/2009","Ratio","Percent Of Municipal Waste",23.4,"Waste Recycled"
"S12000041","2007/2008","Ratio","Percent Of Municipal Waste",34.7,"Waste Recycled"
"S12000027","2008/2009","Ratio","Percent Of Municipal Waste",22.7,"Waste Recycled"
"S12000041","2006/2007","Ratio","Percent Of Municipal Waste",30.2,"Waste Recycled"
"S12000018","2007/2008","Ratio","Percent Of Municipal Waste",21.9,"Waste Recycled"
"S12000006","2009/2010","Ratio","Percent Of Municipal Waste",36.7,"Waste Recycled"
"S12000027","2006/2007","Ratio","Percent Of Municipal Waste",17.4,"Waste Recycled"
"S12000027","2004/2005","Ratio","Percent Of Municipal Waste",12.6,"Waste Recycled"
"S12000027","2010/2011","Ratio","Percent Of Municipal Waste",19.5,"Waste Recycled"
"S12000041","2004/2005","Ratio","Percent Of Municipal Waste",30.3,"Waste Recycled"
"S12000027","2007/2008","Ratio","Percent Of Municipal Waste",19.2,"Waste Recycled"
"S12000041","2005/2006","Ratio","Percent Of Municipal Waste",32.7,"Waste Recycled"
"S12000041","2009/2010","Ratio","Percent Of Municipal Waste",39.1,"Waste Recycled"
"S12000041","2008/2009","Ratio","Percent Of Municipal Waste",35.8,"Waste Recycled"
"S12000018","2004/2005","Ratio","Percent Of Municipal Waste",7.3,"Waste Recycled"
"S12000018","2005/2006","Ratio","Percent Of Municipal Waste",18.6,"Waste Recycled"
"S12000006","2010/2011","Ratio","Percent Of Municipal Waste",39.4,"Waste Recycled"
"S12000006","2008/2009","Ratio","Percent Of Municipal Waste",36.3,"Waste Recycled"
"S12000006","2011/2012","Ratio","Percent Of Municipal Waste",48.5,"Waste Recycled"
"S12000027","2011/2012","Ratio","Percent Of Municipal Waste",17.9,"Waste Recycled"
"S12000006","2004/2005","Ratio","Percent Of Municipal Waste",5.6,"Waste Recycled"
"S12000005","2006/2007","Ratio","Percent Of Municipal Waste",43.6,"Waste Recycled"
"S12000005","2004/2005","Ratio","Percent Of Municipal Waste",38.1,"Waste Recycled"
"S12000026","2005/2006","Ratio","Percent Of Municipal Waste",16,"Waste Recycled"
"S12000005","2011/2012","Ratio","Percent Of Municipal Waste",51.7,"Waste Recycled"
"S12000005","2010/2011","Ratio","Percent Of Municipal Waste",49.8,"Waste Recycled"
"S12000042","2005/2006","Ratio","Percent Of Municipal Waste",30.9,"Waste Recycled"
"S12000018","2008/2009","Ratio","Percent Of Municipal Waste",28,"Waste Recycled"
"S12000042","2009/2010","Ratio","Percent Of Municipal Waste",40.1,"Waste Recycled"
"S12000042","2010/2011","Ratio","Percent Of Municipal Waste",34.6,"Waste Recycled"
"S12000042","2011/2012","Ratio","Percent Of Municipal Waste",45.9,"Waste Recycled"
"S12000042","2008/2009","Ratio","Percent Of Municipal Waste",36.1,"Waste Recycled"
"S12000006","2006/2007","Ratio","Percent Of Municipal Waste",23.2,"Waste Recycled"
"S12000042","2006/2007","Ratio","Percent Of Municipal Waste",31,"Waste Recycled"
"S12000027","2005/2006","Ratio","Percent Of Municipal Waste",10.9,"Waste Recycled"
"S12000027","2009/2010","Ratio","Percent Of Municipal Waste",19.3,"Waste Recycled"
"S12000006","2007/2008","Ratio","Percent Of Municipal Waste",31.1,"Waste Recycled"
"S12000026","2010/2011","Ratio","Percent Of Municipal Waste",39.9,"Waste Recycled"
"S12000042","2007/2008","Ratio","Percent Of Municipal Waste",33,"Waste Recycled"
"S12000006","2005/2006","Ratio","Percent Of Municipal Waste",10.4,"Waste Recycled"
"S12000028","2008/2009","Ratio","Percent Of Municipal Waste",41.3,"Waste Recycled"
"S12000028","2004/2005","Ratio","Percent Of Municipal Waste",21.4,"Waste Recycled"
"S12000008","2009/2010","Ratio","Percent Of Municipal Waste",43,"Waste Recycled"
"S12000010","2007/2008","Ratio","Percent Of Municipal Waste",35.4,"Waste Recycled"
"S12000028","2006/2007","Ratio","Percent Of Municipal Waste",39.3,"Waste Recycled"
"S12000008","2008/2009","Ratio","Percent Of Municipal Waste",42.1,"Waste Recycled"
"S12000008","2006/2007","Ratio","Percent Of Municipal Waste",35.3,"Waste Recycled"
"S12000008","2010/2011","Ratio","Percent Of Municipal Waste",43.9,"Waste Recycled"
"S12000008","2004/2005","Ratio","Percent Of Municipal Waste",16.1,"Waste Recycled"
"S12000028","2007/2008","Ratio","Percent Of Municipal Waste",43.1,"Waste Recycled"
"S12000036","2009/2010","Ratio","Percent Of Municipal Waste",31.5,"Waste Recycled"
"S12000017","2010/2011","Ratio","Percent Of Municipal Waste",34,"Waste Recycled"
"S12000036","2011/2012","Ratio","Percent Of Municipal Waste",33.4,"Waste Recycled"
"S12000010","2009/2010","Ratio","Percent Of Municipal Waste",40.9,"Waste Recycled"
"S12000036","2008/2009","Ratio","Percent Of Municipal Waste",30.1,"Waste Recycled"
"S12000010","2004/2005","Ratio","Percent Of Municipal Waste",19.6,"Waste Recycled"
"S12000010","2011/2012","Ratio","Percent Of Municipal Waste",44.7,"Waste Recycled"
"S12000036","2010/2011","Ratio","Percent Of Municipal Waste",31.5,"Waste Recycled"
"S12000010","2010/2011","Ratio","Percent Of Municipal Waste",43.4,"Waste Recycled"
"S12000038","2007/2008","Ratio","Percent Of Municipal Waste",30.1,"Waste Recycled"
"S12000028","2010/2011","Ratio","Percent Of Municipal Waste",42.7,"Waste Recycled"
"S12000038","2006/2007","Ratio","Percent Of Municipal Waste",28.2,"Waste Recycled"
"S12000038","2004/2005","Ratio","Percent Of Municipal Waste",15,"Waste Recycled"
"S12000038","2008/2009","Ratio","Percent Of Municipal Waste",30.5,"Waste Recycled"
"S12000041","2011/2012","Ratio","Percent Of Municipal Waste",40.2,"Waste Recycled"
"S12000038","2005/2006","Ratio","Percent Of Municipal Waste",24.5,"Waste Recycled"
"S12000041","2010/2011","Ratio","Percent Of Municipal Waste",36.7,"Waste Recycled"
"S12000028","2009/2010","Ratio","Percent Of Municipal Waste",44.1,"Waste Recycled"
"S12000028","2011/2012","Ratio","Percent Of Municipal Waste",46.1,"Waste Recycled"
"S12000008","2011/2012","Ratio","Percent Of Municipal Waste",41.9,"Waste Recycled"
"S12000038","2011/2012","Ratio","Percent Of Municipal Waste",42.6,"Waste Recycled"
"S12000038","2010/2011","Ratio","Percent Of Municipal Waste",42.8,"Waste Recycled"
"S12000008","2005/2006","Ratio","Percent Of Municipal Waste",27.1,"Waste Recycled"
"S12000008","2007/2008","Ratio","Percent Of Municipal Waste",41.8,"Waste Recycled"
"S12000018","2010/2011","Ratio","Percent Of Municipal Waste",31.5,"Waste Recycled"
"S12000018","2009/2010","Ratio","Percent Of Municipal Waste",30.3,"Waste Recycled"
"S12000038","2009/2010","Ratio","Percent Of Municipal Waste",37.4,"Waste Recycled"
"S12000028","2005/2006","Ratio","Percent Of Municipal Waste",35.8,"Waste Recycled"
